Year,Division,Position,Name
1928,Heavyweights,1,Young Stribling
1928,Heavyweights,2,George Godfrey
1928,Heavyweights,3,Paolino Uzcudun
1928,Heavyweights,4,Jack Sharkey
1928,Heavyweights,5,Knute Hansen
1928,Heavyweights,6,Jim Maloney
1928,Heavyweights,7,Johnny Risko
1928,Heavyweights,8,Phil Scott
1928,Heavyweights,9,Tom Heeney
1928,Heavyweights,10,Otto von Porat
1928,Light Heavyweights,1,Tommy Loughran, Champion
1928,Light Heavyweights,2,Jim Braddock
1928,Light Heavyweights,3,Leo Lomski
1928,Light Heavyweights,4,Jimmy Slattery
1928,Light Heavyweights,5,Jack Delaney
1928,Light Heavyweights,6,Tuffy Griffith
1928,Light Heavyweights,7,Maxie Rosenbloom
1928,Light Heavyweights,8,Cuban Bobby Brown
1928,Light Heavyweights,9,Tiger Jack Payne
1928,Light Heavyweights,10,Pete Latzo
1928,Middleweights,1,Mickey Walker, Champion
1928,Middleweights,2,Rene DeVos
1928,Middleweights,3,George Courtney
1928,Middleweights,4,Dave Shade
1928,Middleweights,5,Phil 'KO' Kaplan
1928,Middleweights,6,Jack McVey
1928,Middleweights,7,Frankie Schoell
1928,Middleweights,8,Ace Hudkins
1928,Middleweights,9,Harry Ebbets
1928,Middleweights,10,Cowboy Jack Willis
1928,Welterweights,1,Joe Dundee, Champion
1928,Welterweights,2,Jackie Fields
1928,Welterweights,3,Young Jack Thompson
1928,Welterweights,4,Al Mello
1928,Welterweights,5,Gorilla Jones
1928,Welterweights,6,Tommy Freeman
1928,Welterweights,7,Jack Hood
1928,Welterweights,8,Billy Light
1928,Welterweights,9,Farmer Joe Cooper
1928,Welterweights,10,Sgt. Sammy Baker
1928,Junior Welterweights,1,Mushy Callahan, Champion
1928,Junior Welterweights,2,Ruby Goldstein
1928,Junior Welterweights,3,Jimmy Goodrich
1928,Junior Welterweights,4,Jackie Brady
1928,Junior Welterweights,5,Sam Bruce
1928,Junior Welterweights,6,Freddie Mueller
1928,Junior Welterweights,7,Paul Pirrone
1928,Junior Welterweights,8,Harry Wallach
1928,Junior Welterweights,9,Tommy (Kid) Murphy
1928,Junior Welterweights,10,Freddy Fitzgerald
1928,Lightweights,1,Sammy Mandell, Champion
1928,Lightweights,2,Ray Miller
1928,Lightweights,3,Joe Glick
1928,Lightweights,4,Baby Joe Gans
1928,Lightweights,5,King Tut
1928,Lightweights,6,Joey Medill
1928,Lightweights,7,Billy Wallace
1928,Lightweights,8,Billy Petrolle
1928,Lightweights,9,Jackie (Kid) Berg
1928,Lightweights,10,Manuel Quintero
1928,Junior Lightweights,1,Tod Morgan, Champion
1928,Junior Lightweights,2,Dick (Honeyboy) Finnegan
1928,Junior Lightweights,3,Davey Abad
1928,Junior Lightweights,4,Tony Canzoneri
1928,Junior Lightweights,5,Cannonball Eddie Martin
1928,Junior Lightweights,6,Al Foreman
1928,Junior Lightweights,7,Leslie (Wildcat) Carter
1928,Junior Lightweights,8,Mike Dundee
1928,Junior Lightweights,9,Sammy Dorfman
1928,Junior Lightweights,10,Eddie Anderson
1928,Featherweights,1,Andre Routis, Champion
1928,Featherweights,2,Benny Bass
1928,Featherweights,3,Santiago Zorrilla
1928,Featherweights,4,Joey Sangor
1928,Featherweights,5,Pete Nebo
1928,Featherweights,6,Eddie Shea
1928,Featherweights,7,Harry Blitman
1928,Featherweights,8,Al Singer
1928,Featherweights,9,Charles (Bud) Taylor
1928,Featherweights,10,Rosey Stoy
1928,Bantamweights,1,Bushy Graham
1928,Bantamweights,2,Fidel LaBarba
1928,Bantamweights,3,Panama Al Brown
1928,Bantamweights,4,Kid Francis
1928,Bantamweights,5,Kid Chocolate
1928,Bantamweights,6,Joey Scalfaro
1928,Bantamweights,7,Teddy Baldock
1928,Bantamweights,8,Archie Bell
1928,Bantamweights,9,Young Nationalista
1928,Bantamweights,10,Alf Kid Pattenden
1928,Flyweights,1,Corporal Izzy Schwartz, Champion
1928,Flyweights,2,Frankie Genaro
1928,Flyweights,3,Johnny Hill
1928,Flyweights,4,Steve Rocco
1928,Flyweights,5,Newsboy Brown
1928,Flyweights,6,Phil Tobias
1928,Flyweights,7,Wee Willie Davies
1928,Flyweights,8,Emile (Spider) Pladner
1928,Flyweights,9,Midget Wolgast
1928,Flyweights,10,Ernie Peters
1929,Heavyweights,1,Jack Sharkey
1929,Heavyweights,2,Max Schmeling
1929,Heavyweights,3,George Godfrey
1929,Heavyweights,4,Tuffy Griffith
1929,Heavyweights,5,Phil Scott
1929,Heavyweights,6,Otto von Porat
1929,Heavyweights,7,Young Stribling
1929,Heavyweights,8,Johnny Risko
1929,Heavyweights,9,Primo Carnera
1929,Heavyweights,10,Vittorio Campolo
1929,Light Heavyweights,1,Maxie Rosenbloom
1929,Light Heavyweights,2,Jimmy Slattery
1929,Light Heavyweights,3,Lou Scozza
1929,Light Heavyweights,4,Larry Johnson
1929,Light Heavyweights,5,Leo Lomski
1929,Light Heavyweights,6,George Courtney
1929,Light Heavyweights,7,Charley Belanger
1929,Light Heavyweights,8,George Manley
1929,Light Heavyweights,9,Fred Lenhart
1929,Light Heavyweights,10,Yale Okun
1929,Middleweights,1,Rene DeVos
1929,Middleweights,2,Dave Shade
1929,Middleweights,3,Harry Ebbets
1929,Middleweights,4,Ace Hudkins
1929,Middleweights,5,Doc Conrad
1929,Middleweights,6,Len Harvey
1929,Middleweights,7,Harry Smith
1929,Middleweights,8,Young Johnny Burns
1929,Middleweights,9,Haakon Hansen
1929,Middleweights,10,Jack McVey
1929,Welterweights,1,Jimmy McLarnin
